subject_folder	channel	freq_hz	psd_uV2_per_Hz
P04	FC6	22.000000	0.000614016433246
P04	FC6	23.000000	0.000462246738607
P04	FC6	24.000000	0.00152368459385
P04	FC6	25.000000	0.00110982556362
P04	FC6	26.000000	0.000561743276194
P04	FC6	27.000000	0.000305325171212
P04	FC6	28.000000	0.000333301577484
P04	FC6	29.000000	0.000362320104614
P04	FC6	30.000000	3.66988097085e-05
P04	FC6	31.000000	0.000273318582913
P04	FC6	32.000000	0.0001939478243
P04	FC6	33.000000	0.000407066429034
P04	FC6	34.000000	0.000412210501963
P04	FC6	35.000000	0.000374098279281
P04	FC6	36.000000	0.00071767042391
P04	FC6	37.000000	0.000437482172856
P04	FC6	38.000000	0.000251474557444
P04	FC6	39.000000	0.000207554112421
P04	FC6	40.000000	0.000628609443083
P04	FC6	41.000000	0.000861559063196
P04	FC6	42.000000	0.00040019172593
P04	FC6	43.000000	1.79157796083e-05
P04	FC6	44.000000	7.79713009251e-05
P04	FC6	45.000000	0.000121365010273
P04	FC6	46.000000	0.000266737217316
P04	FC6	47.000000	0.000126206257846
P04	FC6	48.000000	6.46463263365e-07
P04	FC6	49.000000	6.09447888564e-05
P04	FC6	50.000000	0.000128406580188
P04	FC6	51.000000	7.62249692343e-05
P04	FC6	52.000000	8.28225965961e-05
P04	FC6	53.000000	0.000166982164956
P04	FC6	54.000000	0.000131469510961
P04	FC6	55.000000	1.7885451598e-05
P04	FC6	56.000000	2.97204642266e-05
P04	FC6	57.000000	0.000185310622328
P04	FC6	58.000000	0.000168842147104
P04	FC6	59.000000	2.34714243561e-05
P04	FC6	60.000000	1.81512841664e-05
P04	FC6	61.000000	6.55668554828e-05
P04	FC6	62.000000	8.66594273248e-05
P04	FC6	63.000000	0.000179690629011
P04	FC6	64.000000	0.00021484537865
P04	FC6	65.000000	0.00010407857917
P04	FC6	66.000000	2.27876498684e-05
P04	FC6	67.000000	1.6257597963e-05
P04	FC6	68.000000	2.14251235775e-06
P04	FC6	69.000000	9.52461414272e-06
P04	FC6	70.000000	1.51706708493e-05
P04	FC6	71.000000	9.85710867099e-05
P04	FC6	72.000000	0.000141601951327
P04	FC6	73.000000	5.40444561921e-05
P04	FC6	74.000000	1.13210317068e-05
P04	FC6	75.000000	9.50997127802e-05
P04	FC6	76.000000	3.53043105861e-05
P04	FC6	77.000000	1.69925588125e-05
P04	FC6	78.000000	1.59353076015e-05
P04	FC6	79.000000	7.10788881406e-05
P04	FC6	80.000000	3.66760068573e-05
P04	F8	1.000000	0.444952428341
P04	F8	2.000000	0.0706406980753
P04	F8	3.000000	0.00351656507701
P04	F8	4.000000	0.00542590254918
P04	F8	5.000000	0.0250177178532
P04	F8	6.000000	0.0192823726684
P04	F8	7.000000	0.00885411538184
P04	F8	8.000000	0.000382949860068
P04	F8	9.000000	0.00377978780307
P04	F8	10.000000	0.000789283891208
P04	F8	11.000000	0.000540423381608
P04	F8	12.000000	0.00171750108711
P04	F8	13.000000	0.00134680967312
P04	F8	14.000000	0.00617246190086
P04	F8	15.000000	0.00503181526437
P04	F8	16.000000	0.00277822325006
P04	F8	17.000000	0.00458797067404
P04	F8	18.000000	0.00263688224368
P04	F8	19.000000	0.00617058621719
P04	F8	20.000000	0.00165836082306
P04	F8	21.000000	0.00209581223316
P04	F8	22.000000	0.000119252821605
P04	F8	23.000000	0.000293560588034
P04	F8	24.000000	0.00190339877736
P04	F8	25.000000	0.00123653654009
P04	F8	26.000000	0.000299324077787
P04	F8	27.000000	0.000299572595395
P04	F8	28.000000	0.000552719342522
P04	F8	29.000000	7.50253384467e-05
P04	F8	30.000000	0.000905244378373
P04	F8	31.000000	0.000684186990838
P04	F8	32.000000	0.000294289027806
P04	F8	33.000000	0.000679351564031
P04	F8	34.000000	0.0011951434426
P04	F8	35.000000	0.000659183773678
P04	F8	36.000000	0.000114547030535
P04	F8	37.000000	7.34573677619e-06
